unit_index,selected,characters,event_count,A,E,I,O,U,original_record_or_text
13,0,386,15,0.669297530111,0.39620759658,0.203135791367,0.509801367576,-0.293572014152,"{""blur_score"":0.103161,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":0.003293,""edge_density"":0.102336,""foreground_ratio"":0.042329,""frame_difference"":0.000753,""frame_id"":12,""luma_std"":0.681086,""mean_hue"":0.236118,""mean_luma"":0.753199,""mean_saturation"":0.148345,""mean_value"":0.788973,""motion_energy"":0.0,""scene_cut_score"":0.01082,""texture_entropy"":0.566241,""timestamp_ms"":600}"
14,0,399,15,0.764910256708,0.363582128792,0.267524393313,0.32325838881,-0.474421160026,"{""blur_score"":0.102718,""change_center_x"":0.84507,""change_center_y"":0.106443,""color_shift"":0.000408,""edge_density"":0.102453,""foreground_ratio"":0.042329,""frame_difference"":0.000241,""frame_id"":13,""luma_std"":0.68147,""mean_hue"":0.235846,""mean_luma"":0.753058,""mean_saturation"":0.148263,""mean_value"":0.788877,""motion_energy"":0.000234,""scene_cut_score"":0.00237,""texture_entropy"":0.565759,""timestamp_ms"":650}"
15,0,386,15,0.673018011472,0.395383435329,0.205617309889,0.503436638317,-0.294606772401,"{""blur_score"":0.103281,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":0.000274,""edge_density"":0.102298,""foreground_ratio"":0.04229,""frame_difference"":0.000144,""frame_id"":14,""luma_std"":0.681261,""mean_hue"":0.236162,""mean_luma"":0.753127,""mean_saturation"":0.148171,""mean_value"":0.788877,""motion_energy"":0.0,""scene_cut_score"":0.001733,""texture_entropy"":0.568089,""timestamp_ms"":700}"
16,0,400,15,0.76503477354,0.363456607838,0.267795772647,0.323324316437,-0.474115662902,"{""blur_score"":0.102553,""change_center_x"":0.844484,""change_center_y"":0.107143,""color_shift"":0.000311,""edge_density"":0.102336,""foreground_ratio"":0.04229,""frame_difference"":0.000203,""frame_id"":15,""luma_std"":0.681292,""mean_hue"":0.23591,""mean_luma"":0.753094,""mean_saturation"":0.148218,""mean_value"":0.788915,""motion_energy"":0.000312,""scene_cut_score"":0.001756,""texture_entropy"":0.565941,""timestamp_ms"":750}"
17,0,384,15,0.672757411031,0.395431353959,0.205756971836,0.502863922196,-0.294337921458,"{""blur_score"":0.10312,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":0.000317,""edge_density"":0.102259,""foreground_ratio"":0.04229,""frame_difference"":0.00016,""frame_id"":16,""luma_std"":0.681079,""mean_hue"":0.236179,""mean_luma"":0.753188,""mean_saturation"":0.148303,""mean_value"":0.788956,""motion_energy"":0.0,""scene_cut_score"":0.001667,""texture_entropy"":0.566171,""timestamp_ms"":800}"
18,0,383,15,0.67312333494,0.395486987483,0.206236655226,0.502321156325,-0.294649388424,"{""blur_score"":0.102553,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":0.000113,""edge_density"":0.10222,""foreground_ratio"":0.04229,""frame_difference"":0.000124,""frame_id"":17,""luma_std"":0.68129,""mean_hue"":0.236206,""mean_luma"":0.753106,""mean_saturation"":0.148327,""mean_value"":0.788869,""motion_energy"":0.0,""scene_cut_score"":0.00096,""texture_entropy"":0.565879,""timestamp_ms"":850}"
19,0,397,15,0.765711711882,0.363156942543,0.268159546909,0.321742229146,-0.474770988767,"{""blur_score"":0.102652,""change_center_x"":0.846009,""change_center_y"":0.105882,""color_shift"":8e-05,""edge_density"":0.102375,""foreground_ratio"":0.04229,""frame_difference"":5.4e-05,""frame_id"":18,""luma_std"":0.681349,""mean_hue"":0.236188,""mean_luma"":0.753089,""mean_saturation"":0.148355,""mean_value"":0.788855,""motion_energy"":0.000195,""scene_cut_score"":0.000898,""texture_entropy"":0.565469,""timestamp_ms"":900}"
20,0,381,15,0.673208335663,0.395340603308,0.206394853257,0.50153708807,-0.294685318153,"{""blur_score"":0.102652,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":1.4e-05,""edge_density"":0.102375,""foreground_ratio"":0.042329,""frame_difference"":7e-06,""frame_id"":19,""luma_std"":0.68133,""mean_hue"":0.236183,""mean_luma"":0.753091,""mean_saturation"":0.148357,""mean_value"":0.788858,""motion_energy"":0.0,""scene_cut_score"":6.1e-05,""texture_entropy"":0.565796,""timestamp_ms"":950}"
21,0,402,15,0.766070035582,0.361574059297,0.265163382565,0.323317769272,-0.472317820548,"{""blur_score"":0.102622,""change_center_x"":0.831347,""change_center_y"":0.106658,""color_shift"":0.000109,""edge_density"":0.102336,""foreground_ratio"":0.042407,""frame_difference"":0.000107,""frame_id"":20,""luma_std"":0.68155,""mean_hue"":0.236198,""mean_luma"":0.753033,""mean_saturation"":0.148448,""mean_value"":0.788804,""motion_energy"":0.000506,""scene_cut_score"":0.000867,""texture_entropy"":0.565644,""timestamp_ms"":1000}"
22,0,399,15,0.765616104952,0.363119373153,0.267804000757,0.322002003002,-0.474287005776,"{""blur_score"":0.102743,""change_center_x"":0.844027,""change_center_y"":0.106443,""color_shift"":0.000125,""edge_density"":0.102336,""foreground_ratio"":0.042368,""frame_difference"":9.8e-05,""frame_id"":21,""luma_std"":0.68172,""mean_hue"":0.23614,""mean_luma"":0.753013,""mean_saturation"":0.148502,""mean_value"":0.788802,""motion_energy"":0.00035,""scene_cut_score"":0.000737,""texture_entropy"":0.565677,""timestamp_ms"":1050}"
